x, y
0.223, 0.274
1.868, 2.020
1.451, 6.702
1.440, 9.642
1.98, 12.04
0.980, 13.28
-0.350, 13.23
-1.808, 13.17
-2.388, 12.29
-1.890, 9.972
-3.129, 8.460
-4.478, 7.637
-4.889, 6.661
-3.802, 5.562
-2.593, 5.063
-2.730, 3.906
-3.648, 3.201
-5.327, 3.675
-6.926, 4.274
-7.442, 5.740
-7.434, 7.611
-7.168, 9.181
-6.349, 9.566
-5.523, 10.41
-5.931, 11.78
-6.464, 13.86
-8.498, 16.48
-9.766, 17.02
-12.32, 16.15
-15.08, 13.77
-15.60, 11.73
-16.15, 8.662
-15.25, 6.796
-13.57, 7.354
-12.30, 11.86
-11.03, 12.86
-9.586, 12.44
-9.007, 8.654
-8.929, 7.036
-8.579, 5.608
-9.101, 4.539
-8.910, 3.634
-8.229, 3.446
-7.683, 3.003
-7.653, 2.488
0.223, 0.274
